GEO_ID,NAME,S1501_C01_001E,S1501_C01_002E
Geography,Geographic Area Name,Total estimates for age by educational attainment Population 18 to 24 years,Population 18 to 24 years Less than high school graduate
1400000US06001442602,Census Tract 4426.02; Alameda County; California,276,0
1400000US06001442700,Census Tract 4427; Alameda County; California,143,0
1400000US06001442800,Census Tract 4428; Alameda County; California,243,0
1400000US06001442900,Census Tract 4429; Alameda County; California,303,1
1400000US06001443001,Census Tract 4430.01; Alameda County; California,134,6
1400000US06001443002,Census Tract 4430.02; Alameda County; California,488,0
1400000US06001443102,Census Tract 4431.02; Alameda County; California,352,51
1400000US06001443103,Census Tract 4431.03; Alameda County; California,275,0
1400000US06001443104,Census Tract 4431.04; Alameda County; California,479,11
1400000US06001443105,Census Tract 4431.05; Alameda County; California,237,11
1400000US06001443200,Census Tract 4432; Alameda County; California,269,22
1400000US06001443301,Census Tract 4433.01; Alameda County; California,331,12
1400000US06001443321,Census Tract 4433.21; Alameda County; California,111,6
1400000US06001443322,Census Tract 4433.22; Alameda County; California,107,18
1400000US06001444100,Census Tract 4441; Alameda County; California,489,211
1400000US06001444200,Census Tract 4442; Alameda County; California,598,53
1400000US06001444301,Census Tract 4443.01; Alameda County; California,411,17
1400000US06001444303,Census Tract 4443.03; Alameda County; California,0,0
1400000US06001444304,Census Tract 4443.04; Alameda County; California,471,81
1400000US06001444400,Census Tract 4444; Alameda County; California,464,56
1400000US06001444500,Census Tract 4445; Alameda County; California,590,88
1400000US06001444601,Census Tract 4446.01; Alameda County; California,349,46
1400000US06001444602,Census Tract 4446.02; Alameda County; California,177,0
1400000US06001450101,Census Tract 4501.01; Alameda County; California,475,9
1400000US06001450102,Census Tract 4501.02; Alameda County; California,618,46
1400000US06001450200,Census Tract 4502; Alameda County; California,300,41
1400000US06001450300,Census Tract 4503; Alameda County; California,317,46
1400000US06001450400,Census Tract 4504; Alameda County; California,614,0
1400000US06001450501,Census Tract 4505.01; Alameda County; California,96,0
1400000US06001450502,Census Tract 4505.02; Alameda County; California,399,63
1400000US06001450601,Census Tract 4506.01; Alameda County; California,197,4
1400000US06001450603,Census Tract 4506.03; Alameda County; California,315,1
1400000US06001450604,Census Tract 4506.04; Alameda County; California,271,40
1400000US06001450605,Census Tract 4506.05; Alameda County; California,181,6
1400000US06001450606,Census Tract 4506.06; Alameda County; California,272,48
1400000US06001450607,Census Tract 4506.07; Alameda County; California,232,0
1400000US06001450608,Census Tract 4506.08; Alameda County; California,329,15
1400000US06001450609,Census Tract 4506.09; Alameda County; California,150,1
1400000US06001450701,Census Tract 4507.01; Alameda County; California,594,70
1400000US06001450741,Census Tract 4507.41; Alameda County; California,338,100
1400000US06001450742,Census Tract 4507.42; Alameda County; California,331,25
1400000US06001450743,Census Tract 4507.43; Alameda County; California,434,30
1400000US06001450744,Census Tract 4507.44; Alameda County; California,394,22
1400000US06001450745,Census Tract 4507.45; Alameda County; California,330,30
1400000US06001450746,Census Tract 4507.46; Alameda County; California,425,11
1400000US06001450750,Census Tract 4507.50; Alameda County; California,252,0
1400000US06001450751,Census Tract 4507.51; Alameda County; California,358,0
1400000US06001450752,Census Tract 4507.52; Alameda County; California,496,43
1400000US06001451102,Census Tract 4511.02; Alameda County; California,362,0
1400000US06001451103,Census Tract 4511.03; Alameda County; California,51,0
1400000US06001451104,Census Tract 4511.04; Alameda County; California,530,42
1400000US06001451201,Census Tract 4512.01; Alameda County; California,476,0
1400000US06001451202,Census Tract 4512.02; Alameda County; California,448,0
1400000US06001451300,Census Tract 4513; Alameda County; California,436,55
1400000US06001451401,Census Tract 4514.01; Alameda County; California,413,40
1400000US06001451403,Census Tract 4514.03; Alameda County; California,71,5
1400000US06001451404,Census Tract 4514.04; Alameda County; California,540,161
1400000US06001451501,Census Tract 4515.01; Alameda County; California,176,88
1400000US06001451503,Census Tract 4515.03; Alameda County; California,322,0
1400000US06001451504,Census Tract 4515.04; Alameda County; California,124,0
1400000US06001451505,Census Tract 4515.05; Alameda County; California,208,11
1400000US06001451506,Census Tract 4515.06; Alameda County; California,263,13
1400000US06001451601,Census Tract 4516.01; Alameda County; California,247,26
1400000US06001451602,Census Tract 4516.02; Alameda County; California,327,15
1400000US06001451701,Census Tract 4517.01; Alameda County; California,170,8
1400000US06001451703,Census Tract 4517.03; Alameda County; California,298,9
1400000US06001451704,Census Tract 4517.04; Alameda County; California,310,32
1400000US06001981900,Census Tract 9819; Alameda County; California,0,0
1400000US06001982000,Census Tract 9820; Alameda County; California,0,0
1400000US06001982100,Census Tract 9821; Alameda County; California,772,0
1400000US06001983200,Census Tract 9832; Alameda County; California,17,0
1400000US06001990000,Census Tract 9900; Alameda County; California,0,0
1400000US06003010000,Census Tract 100; Alpine County; California,102,3
1400000US06005000101,Census Tract 1.01; Amador County; California,214,69
1400000US06005000102,Census Tract 1.02; Amador County; California,150,1
1400000US06005000201,Census Tract 2.01; Amador County; California,137,0
1400000US06005000202,Census Tract 2.02; Amador County; California,107,63
1400000US06005000301,Census Tract 3.01; Amador County; California,405,124
1400000US06005000303,Census Tract 3.03; Amador County; California,399,174
1400000US06005000304,Census Tract 3.04; Amador County; California,250,89
1400000US06005000401,Census Tract 4.01; Amador County; California,439,47
1400000US06005000402,Census Tract 4.02; Amador County; California,75,39
1400000US06005000500,Census Tract 5; Amador County; California,256,16
1400000US06007000102,Census Tract 1.02; Butte County; California,449,22
1400000US06007000103,Census Tract 1.03; Butte County; California,505,108
1400000US06007000104,Census Tract 1.04; Butte County; California,602,68
1400000US06007000201,Census Tract 2.01; Butte County; California,544,0
1400000US06007000202,Census Tract 2.02; Butte County; California,378,26
1400000US06007000300,Census Tract 3; Butte County; California,606,151
1400000US06007000401,Census Tract 4.01; Butte County; California,687,31
1400000US06007000403,Census Tract 4.03; Butte County; California,484,0
1400000US06007000404,Census Tract 4.04; Butte County; California,146,31
1400000US06007000501,Census Tract 5.01; Butte County; California,1473,23
1400000US06007000502,Census Tract 5.02; Butte County; California,2966,59
1400000US06007000601,Census Tract 6.01; Butte County; California,269,24
1400000US06007000603,Census Tract 6.03; Butte County; California,2324,47
1400000US06007000604,Census Tract 6.04; Butte County; California,2564,76
1400000US06007000700,Census Tract 7; Butte County; California,489,0
1400000US06007000800,Census Tract 8; Butte County; California,853,0
1400000US06007000901,Census Tract 9.01; Butte County; California,193,9
1400000US06007000903,Census Tract 9.03; Butte County; California,824,7
1400000US06007000904,Census Tract 9.04; Butte County; California,734,23
1400000US06007001000,Census Tract 10; Butte County; California,3137,185
1400000US06007001100,Census Tract 11; Butte County; California,1277,0
1400000US06007001200,Census Tract 12; Butte County; California,1382,101
1400000US06007001300,Census Tract 13; Butte County; California,332,2
1400000US06007001400,Census Tract 14; Butte County; California,411,65
1400000US06007001500,Census Tract 15; Butte County; California,680,37
