GEO_ID,NAME,S1701_C01_001E
Geography,Geographic Area Name,Population for whom poverty status is determined
1400000US06001438201,Census Tract 4382.01; Alameda County; California,4877
1400000US06001438203,Census Tract 4382.03; Alameda County; California,4079
1400000US06001438204,Census Tract 4382.04; Alameda County; California,6353
1400000US06001438300,Census Tract 4383; Alameda County; California,3899
1400000US06001438400,Census Tract 4384; Alameda County; California,2671
1400000US06001440100,Census Tract 4401; Alameda County; California,2582
1400000US06001440200,Census Tract 4402; Alameda County; California,5568
1400000US06001440301,Census Tract 4403.01; Alameda County; California,7029
1400000US06001440304,Census Tract 4403.04; Alameda County; California,4652
1400000US06001440305,Census Tract 4403.05; Alameda County; California,4064
1400000US06001440306,Census Tract 4403.06; Alameda County; California,3787
1400000US06001440307,Census Tract 4403.07; Alameda County; California,4474
1400000US06001440308,Census Tract 4403.08; Alameda County; California,5990
1400000US06001440331,Census Tract 4403.31; Alameda County; California,3272
1400000US06001440332,Census Tract 4403.32; Alameda County; California,3203
1400000US06001440333,Census Tract 4403.33; Alameda County; California,2723
1400000US06001440334,Census Tract 4403.34; Alameda County; California,4041
1400000US06001440336,Census Tract 4403.36; Alameda County; California,4244
1400000US06001440337,Census Tract 4403.37; Alameda County; California,2852
1400000US06001440338,Census Tract 4403.38; Alameda County; California,4059
1400000US06001441100,Census Tract 4411; Alameda County; California,4540
1400000US06001441200,Census Tract 4412; Alameda County; California,7354
1400000US06001441301,Census Tract 4413.01; Alameda County; California,3330
1400000US06001441302,Census Tract 4413.02; Alameda County; California,5828
1400000US06001441401,Census Tract 4414.01; Alameda County; California,7549
1400000US06001441402,Census Tract 4414.02; Alameda County; California,5344
1400000US06001441501,Census Tract 4415.01; Alameda County; California,5688
1400000US06001441503,Census Tract 4415.03; Alameda County; California,7416
1400000US06001441521,Census Tract 4415.21; Alameda County; California,5967
1400000US06001441522,Census Tract 4415.22; Alameda County; California,5275
1400000US06001441523,Census Tract 4415.23; Alameda County; California,4264
1400000US06001441524,Census Tract 4415.24; Alameda County; California,4111
1400000US06001441525,Census Tract 4415.25; Alameda County; California,1599
1400000US06001441601,Census Tract 4416.01; Alameda County; California,4742
1400000US06001441602,Census Tract 4416.02; Alameda County; California,7464
1400000US06001441701,Census Tract 4417.01; Alameda County; California,3884
1400000US06001441702,Census Tract 4417.02; Alameda County; California,4969
1400000US06001441800,Census Tract 4418; Alameda County; California,6209
1400000US06001441921,Census Tract 4419.21; Alameda County; California,3849
1400000US06001441923,Census Tract 4419.23; Alameda County; California,5551
1400000US06001441924,Census Tract 4419.24; Alameda County; California,7199
1400000US06001441926,Census Tract 4419.26; Alameda County; California,4210
1400000US06001441927,Census Tract 4419.27; Alameda County; California,4207
1400000US06001441928,Census Tract 4419.28; Alameda County; California,3725
1400000US06001441929,Census Tract 4419.29; Alameda County; California,3064
1400000US06001442000,Census Tract 4420; Alameda County; California,2933
1400000US06001442100,Census Tract 4421; Alameda County; California,5315
1400000US06001442200,Census Tract 4422; Alameda County; California,7282
1400000US06001442301,Census Tract 4423.01; Alameda County; California,5397
1400000US06001442302,Census Tract 4423.02; Alameda County; California,6186
1400000US06001442400,Census Tract 4424; Alameda County; California,6375
1400000US06001442501,Census Tract 4425.01; Alameda County; California,3155
1400000US06001442502,Census Tract 4425.02; Alameda County; California,3756
1400000US06001442601,Census Tract 4426.01; Alameda County; California,3918
1400000US06001442602,Census Tract 4426.02; Alameda County; California,4663
1400000US06001442700,Census Tract 4427; Alameda County; California,3102
1400000US06001442800,Census Tract 4428; Alameda County; California,3114
1400000US06001442900,Census Tract 4429; Alameda County; California,7772
1400000US06001443001,Census Tract 4430.01; Alameda County; California,2762
1400000US06001443002,Census Tract 4430.02; Alameda County; California,6599
1400000US06001443102,Census Tract 4431.02; Alameda County; California,4816
1400000US06001443103,Census Tract 4431.03; Alameda County; California,4125
1400000US06001443104,Census Tract 4431.04; Alameda County; California,5388
1400000US06001443105,Census Tract 4431.05; Alameda County; California,4643
1400000US06001443200,Census Tract 4432; Alameda County; California,3611
1400000US06001443301,Census Tract 4433.01; Alameda County; California,4399
1400000US06001443321,Census Tract 4433.21; Alameda County; California,3372
1400000US06001443322,Census Tract 4433.22; Alameda County; California,3311
1400000US06001444100,Census Tract 4441; Alameda County; California,7211
1400000US06001444200,Census Tract 4442; Alameda County; California,6777
1400000US06001444301,Census Tract 4443.01; Alameda County; California,3698
1400000US06001444303,Census Tract 4443.03; Alameda County; California,0
1400000US06001444304,Census Tract 4443.04; Alameda County; California,6400
1400000US06001444400,Census Tract 4444; Alameda County; California,5319
1400000US06001444500,Census Tract 4445; Alameda County; California,6943
1400000US06001444601,Census Tract 4446.01; Alameda County; California,6081
1400000US06001444602,Census Tract 4446.02; Alameda County; California,4935
1400000US06001450101,Census Tract 4501.01; Alameda County; California,6883
1400000US06001450102,Census Tract 4501.02; Alameda County; California,5811
1400000US06001450200,Census Tract 4502; Alameda County; California,5272
1400000US06001450300,Census Tract 4503; Alameda County; California,5374
1400000US06001450400,Census Tract 4504; Alameda County; California,7881
1400000US06001450501,Census Tract 4505.01; Alameda County; California,3400
1400000US06001450502,Census Tract 4505.02; Alameda County; California,6266
1400000US06001450601,Census Tract 4506.01; Alameda County; California,3665
1400000US06001450603,Census Tract 4506.03; Alameda County; California,4868
1400000US06001450604,Census Tract 4506.04; Alameda County; California,4993
1400000US06001450605,Census Tract 4506.05; Alameda County; California,3814
1400000US06001450606,Census Tract 4506.06; Alameda County; California,5990
1400000US06001450607,Census Tract 4506.07; Alameda County; California,5182
1400000US06001450608,Census Tract 4506.08; Alameda County; California,4658
1400000US06001450609,Census Tract 4506.09; Alameda County; California,4923
1400000US06001450701,Census Tract 4507.01; Alameda County; California,8733
1400000US06001450741,Census Tract 4507.41; Alameda County; California,5606
1400000US06001450742,Census Tract 4507.42; Alameda County; California,5495
1400000US06001450743,Census Tract 4507.43; Alameda County; California,7435
1400000US06001450744,Census Tract 4507.44; Alameda County; California,5809
1400000US06001450745,Census Tract 4507.45; Alameda County; California,6295
1400000US06001450746,Census Tract 4507.46; Alameda County; California,3229
1400000US06001450750,Census Tract 4507.50; Alameda County; California,6858
1400000US06001450751,Census Tract 4507.51; Alameda County; California,12662
1400000US06001450752,Census Tract 4507.52; Alameda County; California,9566
1400000US06001451102,Census Tract 4511.02; Alameda County; California,3950
1400000US06001451103,Census Tract 4511.03; Alameda County; California,1276
1400000US06001451104,Census Tract 4511.04; Alameda County; California,7149
1400000US06001451201,Census Tract 4512.01; Alameda County; California,7569
1400000US06001451202,Census Tract 4512.02; Alameda County; California,5482
1400000US06001451300,Census Tract 4513; Alameda County; California,6393
1400000US06001451401,Census Tract 4514.01; Alameda County; California,6140
1400000US06001451403,Census Tract 4514.03; Alameda County; California,2184
1400000US06001451404,Census Tract 4514.04; Alameda County; California,6577
1400000US06001451501,Census Tract 4515.01; Alameda County; California,4496
1400000US06001451503,Census Tract 4515.03; Alameda County; California,6004
1400000US06001451504,Census Tract 4515.04; Alameda County; California,1539
1400000US06001451505,Census Tract 4515.05; Alameda County; California,3159
1400000US06001451506,Census Tract 4515.06; Alameda County; California,3467
1400000US06001451601,Census Tract 4516.01; Alameda County; California,5363
1400000US06001451602,Census Tract 4516.02; Alameda County; California,6673
1400000US06001451701,Census Tract 4517.01; Alameda County; California,2927
1400000US06001451703,Census Tract 4517.03; Alameda County; California,3827
1400000US06001451704,Census Tract 4517.04; Alameda County; California,4320
1400000US06001981900,Census Tract 9819; Alameda County; California,25
1400000US06001982000,Census Tract 9820; Alameda County; California,50
1400000US06001982100,Census Tract 9821; Alameda County; California,32
1400000US06001983200,Census Tract 9832; Alameda County; California,896
1400000US06001990000,Census Tract 9900; Alameda County; California,0
1400000US06003010000,Census Tract 100; Alpine County; California,1515
1400000US06005000101,Census Tract 1.01; Amador County; California,4294
1400000US06005000102,Census Tract 1.02; Amador County; California,2160
1400000US06005000201,Census Tract 2.01; Amador County; California,2791
1400000US06005000202,Census Tract 2.02; Amador County; California,1868
1400000US06005000301,Census Tract 3.01; Amador County; California,2199
1400000US06005000303,Census Tract 3.03; Amador County; California,6442
1400000US06005000304,Census Tract 3.04; Amador County; California,5238
1400000US06005000401,Census Tract 4.01; Amador County; California,4570
1400000US06005000402,Census Tract 4.02; Amador County; California,4610
1400000US06005000500,Census Tract 5; Amador County; California,3399
1400000US06007000102,Census Tract 1.02; Butte County; California,4261
1400000US06007000103,Census Tract 1.03; Butte County; California,6321
1400000US06007000104,Census Tract 1.04; Butte County; California,5786
1400000US06007000201,Census Tract 2.01; Butte County; California,4140
1400000US06007000202,Census Tract 2.02; Butte County; California,3686
1400000US06007000300,Census Tract 3; Butte County; California,4452
1400000US06007000401,Census Tract 4.01; Butte County; California,5400
1400000US06007000403,Census Tract 4.03; Butte County; California,3497
1400000US06007000404,Census Tract 4.04; Butte County; California,3605
1400000US06007000501,Census Tract 5.01; Butte County; California,4190
1400000US06007000502,Census Tract 5.02; Butte County; California,5188
1400000US06007000601,Census Tract 6.01; Butte County; California,3556
1400000US06007000603,Census Tract 6.03; Butte County; California,2454
1400000US06007000604,Census Tract 6.04; Butte County; California,4147
1400000US06007000700,Census Tract 7; Butte County; California,4825
1400000US06007000800,Census Tract 8; Butte County; California,6153
1400000US06007000901,Census Tract 9.01; Butte County; California,2885
1400000US06007000903,Census Tract 9.03; Butte County; California,5830
1400000US06007000904,Census Tract 9.04; Butte County; California,7103
1400000US06007001000,Census Tract 10; Butte County; California,5504
1400000US06007001100,Census Tract 11; Butte County; California,3728
1400000US06007001200,Census Tract 12; Butte County; California,3811
1400000US06007001300,Census Tract 13; Butte County; California,3701
1400000US06007001400,Census Tract 14; Butte County; California,6559
1400000US06007001500,Census Tract 15; Butte County; California,6207
1400000US06007001601,Census Tract 16.01; Butte County; California,1910
1400000US06007001602,Census Tract 16.02; Butte County; California,3097
1400000US06007001702,Census Tract 17.02; Butte County; California,4339
1400000US06007001703,Census Tract 17.03; Butte County; California,1872
1400000US06007001704,Census Tract 17.04; Butte County; California,3732
1400000US06007001800,Census Tract 18; Butte County; California,1327
1400000US06007001900,Census Tract 19; Butte County; California,989
1400000US06007002000,Census Tract 20; Butte County; California,1375
1400000US06007002100,Census Tract 21; Butte County; California,1333
1400000US06007002200,Census Tract 22; Butte County; California,2082
1400000US06007002300,Census Tract 23; Butte County; California,1818
1400000US06007002401,Census Tract 24.01; Butte County; California,1016
1400000US06007002402,Census Tract 24.02; Butte County; California,2953
1400000US06007002500,Census Tract 25; Butte County; California,4817
1400000US06007002601,Census Tract 26.01; Butte County; California,2212
1400000US06007002602,Census Tract 26.02; Butte County; California,4261
1400000US06007002700,Census Tract 27; Butte County; California,5777
1400000US06007002800,Census Tract 28; Butte County; California,4856
1400000US06007002900,Census Tract 29; Butte County; California,2909
1400000US06007003001,Census Tract 30.01; Butte County; California,2388
1400000US06007003002,Census Tract 30.02; Butte County; California,2558
1400000US06007003100,Census Tract 31; Butte County; California,4853
1400000US06007003200,Census Tract 32; Butte County; California,4331
1400000US06007003300,Census Tract 33; Butte County; California,4259
1400000US06007003400,Census Tract 34; Butte County; California,3017
1400000US06007003501,Census Tract 35.01; Butte County; California,4359
1400000US06007003502,Census Tract 35.02; Butte County; California,4099
1400000US06007003600,Census Tract 36; Butte County; California,4279
1400000US06007003700,Census Tract 37; Butte County; California,4911
1400000US06009000121,Census Tract 1.21; Calaveras County; California,4326
1400000US06009000122,Census Tract 1.22; Calaveras County; California,3185
1400000US06009000123,Census Tract 1.23; Calaveras County; California,2922
1400000US06009000124,Census Tract 1.24; Calaveras County; California,2152
1400000US06009000220,Census Tract 2.20; Calaveras County; California,6229
1400000US06009000221,Census Tract 2.21; Calaveras County; California,6639
1400000US06009000222,Census Tract 2.22; Calaveras County; California,3669
1400000US06009000301,Census Tract 3.01; Calaveras County; California,4171
1400000US06009000302,Census Tract 3.02; Calaveras County; California,2999
1400000US06009000400,Census Tract 4; Calaveras County; California,4324
1400000US06009000501,Census Tract 5.01; Calaveras County; California,2752
